Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Open OU,,Close OU,
1004,1,V,NYRangers,0,1,1,2,100,-120,5.5,-110,5.5,-105
1004,2,H,TampaBay,0,0,1,1,-120,100,5.5,-110,5.5,-115
1004,3,V,Pittsburgh,1,1,1,4,-105,-110,6,-130,6,100
1004,4,H,Ottawa,1,2,0,3,-115,-110,6,110,6,-120
1005,51,V,TampaBay,1,0,0,1,105,105,5.5,105,5.5,110
1005,52,H,NYRangers,0,2,0,2,-125,-125,5.5,-125,5.5,-130
1005,53,V,Ottawa,0,1,2,3,-110,-110,6,-120,6,105
1005,54,H,Pittsburgh,0,0,1,1,-110,-110,6,100,6,-125
1009,1,V,Toronto,1,1,1,3,240,245,5.5,-115,5.5,-115
1009,2,H,Detroit,0,1,1,2,-300,-305,5.5,-105,5.5,-105
1009,3,V,Boston,2,1,2,5,120,120,5.5,-110,5.5,105
1009,4,H,Colorado,2,1,1,4,-140,-140,5.5,-110,5.5,-125
1009,5,V,Calgary,0,0,0,0,115,115,5,-135,5,-130
1009,6,H,Vancouver,1,2,3,6,-135,-135,5,115,5,110
1009,7,V,Anaheim,0,0,1,1,125,130,5,115,5,100
1009,8,H,SanJose,0,2,2,4,-145,-150,5,-135,5,-120
1010,51,V,NYIslanders,1,0,0,1,190,190,5,100,5,100
1010,52,H,NewJersey,1,1,0,2,-230,-220,5,-120,5,-120
1010,53,V,Florida,2,1,1,4,150,130,6,105,6,125
1010,54,H,Carolina,2,2,2,6,-170,-150,6,-125,6,-145
1010,55,V,Chicago,1,0,1,2,125,115,5.5,105,5.5,120
1010,56,H,NYRangers,1,2,1,4,-145,-135,5.5,-125,5.5,-140
1010,57,V,Montreal,1,0,0,1,100,-110,6,-105,6,115
1010,58,H,Buffalo,1,0,0,2,-120,-110,6,-115,6,-135
1010,59,V,Washington,1,3,0,4,-120,-140,6,-105,6,125
1010,60,H,Atlanta,3,1,3,7,100,120,6,-115,6,-145
1010,61,V,Nashville,1,1,0,2,100,-110,5,-130,5,-140
1010,62,H,St.Louis,2,3,0,5,-120,-110,5,110,5,120
1010,63,V,Columbus,1,0,3,5,155,145,5,-110,5,-120
1010,64,H,Dallas,0,2,2,4,-175,-165,5,-110,5,100
1011,1,V,Detroit,1,0,2,3,-135,-145,5.5,-120,5.5,105
1011,2,H,Ottawa,1,1,0,2,115,125,5.5,100,5.5,-125
1011,3,V,St.Louis,1,0,1,2,105,100,5,-110,5,-115
1011,4,H,NYIslanders,4,0,1,5,-125,-120,5,-110,5,-105
1011,5,V,Chicago,2,0,0,2,120,120,5.5,-120,5.5,-105
1011,6,H,Washington,1,1,2,4,-140,-140,5.5,100,5.5,-115
1011,7,V,Atlanta,1,1,0,2,140,135,5.5,-105,5.5,100
1011,8,H,Florida,1,1,0,3,-160,-155,5.5,-115,5.5,-120
1011,9,V,Montreal,2,4,0,6,-130,-130,5.5,-125,5.5,-110
1011,10,H,Toronto,0,1,0,1,110,110,5.5,105,5.5,-110
1011,11,V,NYRangers,4,0,0,4,125,120,5.5,110,5.5,110
1011,12,H,Philadelphia,0,2,1,3,-145,-140,5.5,-130,5.5,-130
1011,13,V,NewJersey,0,0,1,2,115,125,5,-130,5,-120
1011,14,H,Pittsburgh,1,0,0,1,-135,-145,5,110,5,100
1011,15,V,Carolina,0,1,2,4,-110,-110,5.5,-110,5.5,-115
1011,16,H,TampaBay,2,1,0,3,-110,-110,5.5,-110,5.5,-105
1011,17,V,Dallas,1,0,0,1,105,-110,5,-120,5,-130
1011,18,H,Nashville,2,0,1,3,-125,-110,5,100,5,110
1011,19,V,Boston,1,0,2,3,125,110,5,-110,5,-110
