teamname,num_teams_playing,ave_1q_score,ave_2q_score,ave_ht_score,ave_3q_score,ave_4q_score,num_ot_per_week,ave_score_per_week,ave_fd_pw,ave_rush_att,ave_rush_yrds,ave_rush_tds,ave_pass_comp,ave_pass_att,ave_pass_yrds,ave_pass_tds,ave_int,ave_sack_pw,ave_net_pyrds,ave_total_yrds,ave_turnovers,ave_penalties,ave_penalty_yrds,ave_total_plays,ave_top,num_fav_won,num_fav_loss,ml_fav_profit,ml_dog_profit
1,32,4,7,11,5.8,7.1,0.4,24.2,20.4,24.2,108,0.8,23.9,35.8,295.1,1.9,0.7,2.5,279.4,387.4,1.3,7.8,63.8,62.5,30.5,10,5,-204.24,-386
2,32,3.8,6.3,10.1,3.9,5.4,0,19.3,19.5,25.2,109.4,0.8,22.2,35.2,249.9,1.4,0.8,2.4,233.4,342.8,1.3,8,67,62.9,30,13,3,119.01,-412
3,32,4.8,6.5,11.3,5.9,6.2,0,23.5,20.6,25.9,109.2,1,22.7,35,261,1.7,0.7,2.5,244.2,353.4,1.4,6.8,58.1,63.5,30,10,6,-263.81,-42
4,30,4.9,6.7,11.6,4.2,6,0,21.8,21.2,25.4,109.9,0.9,23.5,36.1,257.5,1.3,0.9,2.6,239.4,349.3,1.7,7.5,61.6,64.1,30,7,8,-580.72,1062
5,30,5.6,5.9,11.5,5.6,6,0.1,23.2,20.6,27.3,129.5,1,21.6,33,246.5,1.4,0.8,2.7,226.9,356.4,1.4,8.1,70.5,63.1,30.2,9,6,-201.58,451
6,28,5.3,6.6,12,4,6.1,0,22.1,20.2,26.6,103.6,1.1,22.3,35,254.7,1.2,1.1,2,241.5,345.1,1.8,6.7,53.1,63.6,30,8,6,-276.73,372
7,28,5.1,6.7,11.8,4.1,7.5,0,23.5,19.8,27.6,105.4,0.8,20.9,33.1,247,1.6,0.7,2.1,231.5,336.8,1.4,6.1,54.2,62.8,30,11,3,231.75,-609
8,30,4.7,6.9,11.7,5.3,4.9,0,21.9,19.6,25.5,110.7,0.7,21.7,33.5,252.4,1.7,0.6,3.2,231.7,342.4,1.3,6.9,57.7,62.2,30,14,1,319.17,-1138
9,28,4.3,7.5,11.9,5,6.7,0.2,23.8,20.7,26,120.2,0.8,22.4,34,250.1,1.7,0.4,2.6,231,351.1,1.1,6.6,59.1,62.6,30.1,9,5,-143.97,61
10,26,4.9,6.7,11.7,5.7,5.6,0.1,23.1,20.5,25.8,106.3,0.7,22.9,36.9,255.2,1.5,0.8,2.9,235.7,342,1.5,7.3,61,65.6,30.4,5,8,-601.92,1507
11,28,3.5,7.4,10.9,4.8,6,0,21.6,19.6,24.2,101.8,0.8,23,37.1,254,1.6,1,2.9,233.4,335.2,1.5,6.8,60.8,64.2,30,12,2,257.07,-923
12,28,3.7,5.9,9.6,6.4,4.9,0,20.9,18.9,27.2,123.9,0.8,19.8,32.7,223.9,1.4,0.9,2.6,207.9,331.8,1.5,7,60.8,62.5,30,11,3,111.89,-507
13,32,6.1,6.1,12.2,4.2,6.3,0,22.7,20,25.8,106.4,0.7,21.9,34.8,248.4,1.7,0.8,2.8,228.8,335.2,1.3,6.4,56.5,63.4,30,10,6,-269.65,734
14,32,5.1,9.1,14.1,4.8,6.2,0.2,25.4,21.3,27.3,118.2,0.9,22.2,35,262.7,1.8,0.9,2.3,246.3,364.5,1.3,6,53.8,64.6,30.2,12,4,150.85,-488
15,32,3.7,7.2,10.9,4.7,8.7,0,24.2,20.9,27.2,119.8,1,21.9,34.6,245.6,1.7,1.1,1.6,235.6,355.4,1.6,5.7,46,63.4,30,11,4,-192.1,-56
16,32,5.1,7.2,12.3,4.5,5.7,0.3,22.8,20.3,26.2,113.3,1,22.6,36,247.3,1.5,0.6,2.6,231.2,344.5,1,5.4,43.2,64.8,30.5,10,6,-199.39,154
17,32,3.9,7.5,11.4,5,7,0.2,23.6,20,27,122.1,1.1,20.7,35,241.3,1.3,0.8,2.1,228.3,350.4,1.4,5.7,48.8,64.1,30,11,5,-122.57,235
18,8,3.2,6.2,9.5,3.9,3.8,1.1,18.2,19.6,29.2,128.6,0.9,19.6,31.1,226.8,0.8,0.4,3.1,210.6,339.2,1,5.9,46.8,63.5,32,1,3,-228.57,480
19,8,6.5,8.5,15,8.1,3.1,0,26.2,21.1,27.4,130,1.2,20.2,33.4,248.5,2,0.5,3.2,230,360,1.1,4.9,41.2,64,30,3,1,-11.37,89
20,4,6,10.2,16.2,3.5,9.2,0,29,21.8,27,136,2,20.5,28.5,233.5,1.8,0.5,2.2,216.8,352.8,0.8,6.2,50.5,57.8,30,2,0,56.73,-200
21,2,5,5,10,5,10.5,0,25.5,23.5,25.5,135,1.5,23,36.5,252.5,1.5,2,2.5,239,374,2,4.5,34.5,64.5,30,1,0,76.92,-100
